year,Ft,Country,bin,count
2023,diesel,AT,110,2754
2023,diesel,AT,120,8430
2023,diesel,AT,130,13700
2023,diesel,AT,140,11892
2023,diesel,AT,150,6576
2023,diesel,AT,160,4069
2023,diesel,AT,170,3595
2023,diesel,AT,180,1613
2023,diesel,AT,190,1515
2023,diesel,AT,200,1262
2023,diesel,AT,210,1487
2023,diesel,AT,220,2078
2023,diesel,AT,230,632
2023,diesel,AT,240,87
2023,diesel,AT,250,228
2023,diesel,AT,280,67
2023,diesel,AT,290,71
2023,diesel,AT,300,5
2023,diesel,AT,310,25
2023,diesel,AT,320,13
2023,diesel,BE,110,2026
2023,diesel,BE,120,7261
2023,diesel,BE,130,12077
2023,diesel,BE,140,8720
2023,diesel,BE,150,3952
2023,diesel,BE,160,1384
2023,diesel,BE,170,807
2023,diesel,BE,180,651
2023,diesel,BE,190,1667
2023,diesel,BE,200,867
2023,diesel,BE,210,618
2023,diesel,BE,220,735
2023,diesel,BE,230,407
2023,diesel,BE,240,125
2023,diesel,BE,250,73
2023,diesel,BE,260,2
2023,diesel,BE,280,25
2023,diesel,BE,290,33
2023,diesel,BE,300,4
2023,diesel,BE,310,1
2023,diesel,BE,320,6
2023,diesel,BE,420,1
2023,diesel,BE,NA,28
2023,diesel,BG,110,412
2023,diesel,BG,120,750
2023,diesel,BG,130,902
2023,diesel,BG,140,1057
2023,diesel,BG,150,587
2023,diesel,BG,160,459
2023,diesel,BG,170,560
2023,diesel,BG,180,330
2023,diesel,BG,190,256
2023,diesel,BG,200,261
2023,diesel,BG,210,275
2023,diesel,BG,220,357
2023,diesel,BG,230,101
2023,diesel,BG,240,27
2023,diesel,BG,250,46
2023,diesel,BG,260,88
2023,diesel,BG,280,48
2023,diesel,BG,290,22
2023,diesel,BG,300,4
2023,diesel,BG,310,1
2023,diesel,BG,320,2
2023,diesel,BG,NA,1
2023,diesel,CY,100,40
2023,diesel,CY,110,35
2023,diesel,CY,120,59
2023,diesel,CY,130,85
2023,diesel,CY,140,187
2023,diesel,CY,150,25
2023,diesel,CY,160,70
2023,diesel,CY,170,92
2023,diesel,CY,180,30
2023,diesel,CY,190,45
2023,diesel,CY,200,65
2023,diesel,CY,210,28
2023,diesel,CY,220,41
2023,diesel,CY,230,29
2023,diesel,CY,240,12
2023,diesel,CY,250,23
2023,diesel,CY,290,19
2023,diesel,CY,NA,1
2023,diesel,CZ,110,5501
2023,diesel,CZ,120,7040
2023,diesel,CZ,130,5955
2023,diesel,CZ,140,7428
2023,diesel,CZ,150,5088
2023,diesel,CZ,160,4616
2023,diesel,CZ,170,4602
2023,diesel,CZ,180,2852
2023,diesel,CZ,190,2986
2023,diesel,CZ,200,1510
2023,diesel,CZ,210,2230
2023,diesel,CZ,220,3015
2023,diesel,CZ,230,1199
2023,diesel,CZ,240,121
2023,diesel,CZ,250,450
2023,diesel,CZ,260,22
