year,Ft,Country,Mk,Cn,count
2023,diesel,AT,ALFA ROMEO,ALFA GIULIA,50
2023,diesel,AT,ALFA ROMEO,ALFA STELVIO,131
2023,diesel,AT,ALFA ROMEO,ALFA TONALE,83
2023,diesel,AT,ALPINA,BMW ALPINA D3S TOURING,4
2023,diesel,AT,ALPINA,BMW ALPINA D5 S TOURING ALLRAD,1
2023,diesel,AT,ALPINA,BMW ALPINA XD3,2
2023,diesel,AT,AUDI,A3 LIMOUSINE,36
2023,diesel,AT,AUDI,A3 SPORTBACK,625
2023,diesel,AT,AUDI,A4 ALLROAD QUATTRO,131
2023,diesel,AT,AUDI,A4 AVANT,1119
2023,diesel,AT,AUDI,A4 LIMOUSINE,159
2023,diesel,AT,AUDI,A5 CABRIOLET,6
2023,diesel,AT,AUDI,A5 COUP,2
2023,diesel,AT,AUDI,A5 COUPE,3
2023,diesel,AT,AUDI,A5 SPORTBACK,136
2023,diesel,AT,AUDI,A6 ALLROAD QUATTRO,74
2023,diesel,AT,AUDI,A6 AVANT,403
2023,diesel,AT,AUDI,A6 LIMOUSINE,100
2023,diesel,AT,AUDI,A7 SPORTBACK,4
2023,diesel,AT,AUDI,A8,21
2023,diesel,AT,AUDI,Q2,153
2023,diesel,AT,AUDI,Q3,449
2023,diesel,AT,AUDI,Q3 SPORTBACK,494
2023,diesel,AT,AUDI,Q5,476
2023,diesel,AT,AUDI,Q5 SPORTBACK,476
2023,diesel,AT,AUDI,Q7,169
2023,diesel,AT,AUDI,Q8,509
2023,diesel,AT,AUDI,S4 AVANT,21
2023,diesel,AT,AUDI,S5 COUP,1
2023,diesel,AT,AUDI,S5 COUPE,3
2023,diesel,AT,AUDI,S5 SPORTBACK,10
2023,diesel,AT,AUDI,S6 AVANT,45
2023,diesel,AT,AUDI,S6 LIMOUSINE,8
2023,diesel,AT,AUDI,S7 SPORTBACK,7
2023,diesel,AT,AUDI,SQ5,74
2023,diesel,AT,AUDI,SQ5 SPORTBACK,133
2023,diesel,AT,BMW,116D 5-TÜRER F40 B37,174
2023,diesel,AT,BMW,118D 5-TÜRER F40 B47,179
2023,diesel,AT,BMW,120D XDRIVE 5-TÜRER F40 B47,77
2023,diesel,AT,BMW,216D GRAN COUPE F44 B37,13
2023,diesel,AT,BMW,216D GRAN TOURER F46 B37,5
2023,diesel,AT,BMW,218D ACTIVE TOURER U06 B47,285
2023,diesel,AT,BMW,218D GRAN COUPE F44 B47,64
2023,diesel,AT,BMW,218D GRAN TOURER F46 B47,5
2023,diesel,AT,BMW,218D XDRIVE GRAN TOURER F46 B4,4
2023,diesel,AT,BMW,220D COUPE G42 B47,15
2023,diesel,AT,BMW,220D GRAN COUPE F44 B47,5
2023,diesel,AT,BMW,220D XDRIVE GRAN COUPE F44 B47,6
2023,diesel,AT,BMW,223D XDRIVE ACTIVE TOURER U06,33
2023,diesel,AT,BMW,316D LIMOUSINE G20 B47,1
2023,diesel,AT,BMW,316D LIMOUSINE MX G20 B47,14
2023,diesel,AT,BMW,316D TOURING G21 B47,19
2023,diesel,AT,BMW,318D LIMOUSINE G20 B47,16
2023,diesel,AT,BMW,318D LIMOUSINE MX G20 B47,56
2023,diesel,AT,BMW,318D TOURING G21 B47,204
2023,diesel,AT,BMW,320D LIMOUSINE G20 B47,3
2023,diesel,AT,BMW,320D LIMOUSINE G20 XD5,1
2023,diesel,AT,BMW,320D LIMOUSINE MX G20 B47,46
2023,diesel,AT,BMW,320D TOURING G21 B47,64
2023,diesel,AT,BMW,320D XDRIVE LIMOUSINE G20 B47,12
2023,diesel,AT,BMW,320D XDRIVE LIMOUSINE G20 XD5,1
2023,diesel,AT,BMW,320D XDRIVE LIMOUSINE MX G20 B,91
2023,diesel,AT,BMW,320D XDRIVE TOURING G21 B47,448
2023,diesel,AT,BMW,320D XDRIVE TOURING G21 XD5,1
2023,diesel,AT,BMW,330D LIMOUSINE MX G20 B57,2
2023,diesel,AT,BMW,330D TOURING G21 B57,7
2023,diesel,AT,BMW,330D XDRIVE LIMOUSINE G20 B57,1
2023,diesel,AT,BMW,330D XDRIVE LIMOUSINE MX G20 B,8
2023,diesel,AT,BMW,330D XDRIVE TOURING G21 B57,51
2023,diesel,AT,BMW,420D CABRIO G23 B47,35
2023,diesel,AT,BMW,420D COUPE G22 B47,5
2023,diesel,AT,BMW,420D GRAN COUPE G26 B47,58
2023,diesel,AT,BMW,420D XDRIVE COUPE G22 B47,34
