year,Ft,Country,bin,count
2023,diesel,AT,1200,180
2023,diesel,AT,1300,566
2023,diesel,AT,1400,4893
2023,diesel,AT,1500,12765
2023,diesel,AT,1600,14201
2023,diesel,AT,1700,8177
2023,diesel,AT,1800,6101
2023,diesel,AT,1900,3356
2023,diesel,AT,2000,2857
2023,diesel,AT,2100,2283
2023,diesel,AT,2200,1573
2023,diesel,AT,2300,1529
2023,diesel,AT,2400,609
2023,diesel,AT,2500,632
2023,diesel,AT,2600,309
2023,diesel,AT,2700,25
2023,diesel,AT,2800,43
2023,diesel,BE,1200,1279
2023,diesel,BE,1300,918
2023,diesel,BE,1400,4969
2023,diesel,BE,1500,9810
2023,diesel,BE,1600,9213
2023,diesel,BE,1700,5060
2023,diesel,BE,1800,2966
2023,diesel,BE,1900,1596
2023,diesel,BE,2000,1772
2023,diesel,BE,2100,1364
2023,diesel,BE,2200,738
2023,diesel,BE,2300,652
2023,diesel,BE,2400,265
2023,diesel,BE,2500,557
2023,diesel,BE,2600,239
2023,diesel,BE,2700,51
2023,diesel,BE,2800,18
2023,diesel,BE,4000,1
2023,diesel,BE,NA,2
2023,diesel,BG,1200,84
2023,diesel,BG,1300,132
2023,diesel,BG,1400,703
2023,diesel,BG,1500,1044
2023,diesel,BG,1600,847
2023,diesel,BG,1700,792
2023,diesel,BG,1800,645
2023,diesel,BG,1900,412
2023,diesel,BG,2000,300
2023,diesel,BG,2100,268
2023,diesel,BG,2200,219
2023,diesel,BG,2300,612
2023,diesel,BG,2400,163
2023,diesel,BG,2500,125
2023,diesel,BG,2600,188
2023,diesel,BG,2700,4
2023,diesel,BG,2800,7
2023,diesel,BG,2900,1
2023,diesel,CY,1300,1
2023,diesel,CY,1400,37
2023,diesel,CY,1500,70
2023,diesel,CY,1600,92
2023,diesel,CY,1700,29
2023,diesel,CY,1800,158
2023,diesel,CY,1900,70
2023,diesel,CY,2000,94
2023,diesel,CY,2100,25
2023,diesel,CY,2200,76
2023,diesel,CY,2300,113
2023,diesel,CY,2400,29
2023,diesel,CY,2500,75
2023,diesel,CY,2600,14
2023,diesel,CY,2700,3
2023,diesel,CZ,1200,107
2023,diesel,CZ,1300,101
2023,diesel,CZ,1400,7654
2023,diesel,CZ,1500,8785
2023,diesel,CZ,1600,9737
2023,diesel,CZ,1700,5085
2023,diesel,CZ,1800,8105
2023,diesel,CZ,1900,1751
2023,diesel,CZ,2000,2886
2023,diesel,CZ,2100,2420
2023,diesel,CZ,2200,2466
2023,diesel,CZ,2300,1930
2023,diesel,CZ,2400,1598
2023,diesel,CZ,2500,1104
2023,diesel,CZ,2600,939
2023,diesel,CZ,2700,59
2023,diesel,CZ,2800,36
2023,diesel,CZ,2900,3
2023,diesel,DE,1200,2098
2023,diesel,DE,1300,2128
2023,diesel,DE,1400,25252
2023,diesel,DE,1500,95509
2023,diesel,DE,1600,124558
2023,diesel,DE,1700,88586
2023,diesel,DE,1800,74025
2023,diesel,DE,1900,51391
2023,diesel,DE,2000,48821
2023,diesel,DE,2100,38018
2023,diesel,DE,2200,23861
2023,diesel,DE,2300,21718
2023,diesel,DE,2400,7250
2023,diesel,DE,2500,10563
2023,diesel,DE,2600,4014
2023,diesel,DE,2700,510
2023,diesel,DE,2800,908
2023,diesel,DE,2900,18
2023,diesel,DE,3000,2
2023,diesel,DE,3800,1
2023,diesel,DE,4100,2
2023,diesel,DE,NA,1
2023,diesel,DK,1200,21
2023,diesel,DK,1300,7
2023,diesel,DK,1400,87
2023,diesel,DK,1500,1873
2023,diesel,DK,1600,2158
2023,diesel,DK,1700,2359
2023,diesel,DK,1800,2580
2023,diesel,DK,1900,1562
2023,diesel,DK,2000,1250
2023,diesel,DK,2100,466
2023,diesel,DK,2200,39
2023,diesel,DK,2300,234
2023,diesel,DK,2400,49
2023,diesel,DK,2500,220
2023,diesel,DK,2600,161
2023,diesel,DK,2700,78
2023,diesel,DK,2800,261
2023,diesel,DK,2900,117
2023,diesel,DK,3000,229
2023,diesel,DK,3100,274
2023,diesel,DK,3200,58
2023,diesel,DK,3300,65
2023,diesel,DK,3400,8
2023,diesel,DK,3500,42
2023,diesel,DK,3600,2
2023,diesel,DK,3700,5
2023,diesel,DK,3800,6
2023,diesel,DK,4000,1
2023,diesel,DK,4200,1
2023,diesel,DK,4300,5
2023,diesel,DK,4600,1
2023,diesel,DK,5000,1
2023,diesel,DK,NA,7
2023,diesel,EE,1200,2
2023,diesel,EE,1300,45
2023,diesel,EE,1400,202
2023,diesel,EE,1500,692
2023,diesel,EE,1600,439
2023,diesel,EE,1700,394
2023,diesel,EE,1800,537
2023,diesel,EE,1900,367
2023,diesel,EE,2000,196
2023,diesel,EE,2100,199
2023,diesel,EE,2200,325
2023,diesel,EE,2300,209
2023,diesel,EE,2400,77
2023,diesel,EE,2500,92
2023,diesel,EE,2600,138
2023,diesel,EE,2700,28
2023,diesel,EE,2900,4
2023,diesel,EE,3000,3
2023,diesel,EE,3100,1
2023,diesel,ES,1200,10411
2023,diesel,ES,1300,7831
2023,diesel,ES,1400,19746
2023,diesel,ES,1500,34129
2023,diesel,ES,1600,34663
2023,diesel,ES,1700,22464
2023,diesel,ES,1800,11440
2023,diesel,ES,1900,11070
2023,diesel,ES,2000,10290
2023,diesel,ES,2100,3811
2023,diesel,ES,2200,2837
2023,diesel,ES,2300,5776
2023,diesel,ES,2400,1533
2023,diesel,ES,2500,675
2023,diesel,ES,2600,428
2023,diesel,ES,2700,33
2023,diesel,ES,2800,33
2023,diesel,FI,1400,24
2023,diesel,FI,1500,344
2023,diesel,FI,1600,594
2023,diesel,FI,1700,418
2023,diesel,FI,1800,672
2023,diesel,FI,1900,304
2023,diesel,FI,2000,348
2023,diesel,FI,2100,147
2023,diesel,FI,2200,19
2023,diesel,FI,2300,7
2023,diesel,FI,2400,3
2023,diesel,FI,2500,17
2023,diesel,FI,2600,10
2023,diesel,FI,2700,3
2023,diesel,FI,2800,19
2023,diesel,FI,2900,1
2023,diesel,FR,1200,35354
2023,diesel,FR,1300,15987
2023,diesel,FR,1400,30732
2023,diesel,FR,1500,50234
2023,diesel,FR,1600,40399
2023,diesel,FR,1700,18947
2023,diesel,FR,1800,8315
2023,diesel,FR,1900,5652
2023,diesel,FR,2000,5016
2023,diesel,FR,2100,6333
2023,diesel,FR,2200,1012
2023,diesel,FR,2300,947
2023,diesel,FR,2400,476
2023,diesel,FR,2500,108
2023,diesel,FR,2600,52
2023,diesel,FR,2700,26
2023,diesel,FR,2800,1
2023,diesel,FR,NA,1
2023,diesel,GR,1200,6559
2023,diesel,GR,1300,4333
2023,diesel,GR,1400,1393
2023,diesel,GR,1500,3216
2023,diesel,GR,1600,1681
2023,diesel,GR,1700,557
2023,diesel,GR,1800,401
2023,diesel,GR,1900,245
2023,diesel,GR,2000,415
2023,diesel,GR,2100,168
2023,diesel,GR,2200,127
2023,diesel,GR,2300,75
2023,diesel,GR,2400,78
2023,diesel,GR,2500,95
2023,diesel,GR,2600,21
2023,diesel,GR,2700,16
2023,diesel,HR,1200,511
2023,diesel,HR,1300,79
2023,diesel,HR,1400,3143
2023,diesel,HR,1500,3113
2023,diesel,HR,1600,2245
2023,diesel,HR,1700,1511
2023,diesel,HR,1800,865
2023,diesel,HR,1900,425
2023,diesel,HR,2000,540
2023,diesel,HR,2100,491
2023,diesel,HR,2200,328
2023,diesel,HR,2300,197
2023,diesel,HR,2400,31
2023,diesel,HR,2500,137
2023,diesel,HR,2600,38
2023,diesel,HR,2700,2
2023,diesel,HR,2800,5
2023,diesel,HU,1200,22
2023,diesel,HU,1300,14
2023,diesel,HU,1400,1869
2023,diesel,HU,1500,3009
2023,diesel,HU,1600,2564
2023,diesel,HU,1700,1459
2023,diesel,HU,1800,1562
2023,diesel,HU,1900,1191
2023,diesel,HU,2000,1198
